timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637178089488,32,Petición HTTP,200,OK,final_test 1-4,text,true,,11229,116,13,13,http://192.168.100.4/,31,0,21
1637178089488,32,Petición HTTP,200,OK,final_test 1-3,text,true,,11229,116,13,13,http://192.168.100.4/,32,0,21
1637178089489,33,Petición HTTP,200,OK,final_test 1-11,text,true,,11229,116,13,13,http://192.168.100.4/,30,0,23
1637178089489,32,Petición HTTP,200,OK,final_test 1-10,text,true,,11229,116,13,13,http://192.168.100.4/,30,0,20
1637178089488,32,Petición HTTP,200,OK,final_test 1-8,text,true,,11229,116,13,13,http://192.168.100.4/,32,0,21
1637178089489,33,Petición HTTP,200,OK,final_test 1-9,text,true,,11229,116,13,13,http://192.168.100.4/,30,0,23
1637178089488,32,Petición HTTP,200,OK,final_test 1-7,text,true,,11229,116,13,13,http://192.168.100.4/,32,0,21
1637178089488,32,Petición HTTP,200,OK,final_test 1-6,text,true,,11229,116,13,13,http://192.168.100.4/,31,0,22
1637178089488,32,Petición HTTP,200,OK,final_test 1-2,text,true,,11229,116,13,13,http://192.168.100.4/,30,0,21
1637178089507,15,Petición HTTP,200,OK,final_test 1-13,text,true,,11229,116,13,13,http://192.168.100.4/,12,0,5
1637178089488,32,Petición HTTP,200,OK,final_test 1-1,text,true,,11229,116,13,13,http://192.168.100.4/,31,0,23
1637178089493,32,Petición HTTP,200,OK,final_test 1-12,text,true,,11229,116,14,14,http://192.168.100.4/,26,0,16
1637178089488,36,Petición HTTP,200,OK,final_test 1-5,text,true,,11229,116,14,14,http://192.168.100.4/,30,0,21
1637178089523,7,Petición HTTP,200,OK,final_test 1-4,text,true,,11228,116,14,14,http://192.168.100.4/,4,0,0
1637178089524,7,Petición HTTP,200,OK,final_test 1-3,text,true,,11228,116,14,14,http://192.168.100.4/,5,0,0
1637178089524,10,Petición HTTP,200,OK,final_test 1-9,text,true,,11228,116,14,14,http://192.168.100.4/,4,0,0
1637178089525,9,Petición HTTP,200,OK,final_test 1-14,text,true,,11229,116,14,14,http://192.168.100.4/,8,0,5
1637178089523,13,Petición HTTP,200,OK,final_test 1-10,text,true,,11228,116,14,14,http://192.168.100.4/,3,0,0
1637178089523,13,Petición HTTP,200,OK,final_test 1-7,text,true,,11228,116,14,14,http://192.168.100.4/,5,0,0
1637178089523,14,Petición HTTP,200,OK,final_test 1-11,text,true,,11228,116,14,14,http://192.168.100.4/,3,0,0
1637178089524,13,Petición HTTP,200,OK,final_test 1-8,text,true,,11228,116,14,14,http://192.168.100.4/,6,0,0
1637178089524,13,Petición HTTP,200,OK,final_test 1-6,text,true,,11228,116,14,14,http://192.168.100.4/,4,0,0
1637178089524,14,Petición HTTP,200,OK,final_test 1-13,text,true,,11228,116,14,14,http://192.168.100.4/,5,0,0
1637178089524,14,Petición HTTP,200,OK,final_test 1-2,text,true,,11228,116,14,14,http://192.168.100.4/,4,0,0
1637178089531,8,Petición HTTP,200,OK,final_test 1-4,text,true,,11228,116,14,14,http://192.168.100.4/,4,0,0
1637178089524,17,Petición HTTP,200,OK,final_test 1-1,text,true,,11228,116,14,14,http://192.168.100.4/,5,0,0
1637178089525,16,Petición HTTP,200,OK,final_test 1-12,text,true,,11228,116,14,14,http://192.168.100.4/,6,0,0
1637178089532,12,Petición HTTP,200,OK,final_test 1-3,text,true,,11228,116,14,14,http://192.168.100.4/,11,0,0
1637178089534,11,Petición HTTP,200,OK,final_test 1-14,text,true,,11228,116,14,14,http://192.168.100.4/,11,0,0
1637178089534,12,Petición HTTP,200,OK,final_test 1-9,text,true,,11228,116,14,14,http://192.168.100.4/,11,0,0
1637178089536,12,Petición HTTP,200,OK,final_test 1-10,text,true,,11228,116,15,15,http://192.168.100.4/,11,0,0
1637178089547,6,Petición HTTP,200,OK,final_test 1-9,text,true,,11228,116,16,16,http://192.168.100.4/,5,0,0
1637178089525,29,Petición HTTP,200,OK,final_test 1-5,text,true,,11228,116,16,16,http://192.168.100.4/,10,0,0
1637178089546,13,Petición HTTP,200,OK,final_test 1-14,text,true,,11228,116,18,18,http://192.168.100.4/,13,0,0
1637178089536,31,Petición HTTP,200,OK,final_test 1-7,text,true,,11228,116,18,18,http://192.168.100.4/,12,0,0
1637178089537,31,Petición HTTP,200,OK,final_test 1-11,text,true,,11228,116,18,18,http://192.168.100.4/,11,0,0
1637178089537,32,Petición HTTP,200,OK,final_test 1-8,text,true,,11228,116,19,19,http://192.168.100.4/,12,0,0
1637178089538,33,Petición HTTP,200,OK,final_test 1-6,text,true,,11228,116,19,19,http://192.168.100.4/,11,0,0
1637178089538,33,Petición HTTP,200,OK,final_test 1-13,text,true,,11228,116,19,19,http://192.168.100.4/,11,0,0
1637178089539,33,Petición HTTP,200,OK,final_test 1-2,text,true,,11228,116,19,19,http://192.168.100.4/,11,0,0
1637178089539,34,Petición HTTP,200,OK,final_test 1-4,text,true,,11228,116,19,19,http://192.168.100.4/,12,0,0
1637178089542,32,Petición HTTP,200,OK,final_test 1-12,text,true,,11228,116,19,19,http://192.168.100.4/,9,0,0
1637178089541,33,Petición HTTP,200,OK,final_test 1-1,text,true,,11228,116,19,19,http://192.168.100.4/,13,0,0
1637178089544,31,Petición HTTP,200,OK,final_test 1-3,text,true,,11228,116,19,19,http://192.168.100.4/,11,0,0
1637178089554,26,Petición HTTP,200,OK,final_test 1-5,text,true,,11228,116,20,20,http://192.168.100.4/,11,0,0
1637178089548,33,Petición HTTP,200,OK,final_test 1-10,text,true,,11228,116,20,20,http://192.168.100.4/,13,0,0
1637178089550,32,Petición HTTP,200,OK,final_test 1-15,text,true,,11229,116,20,20,http://192.168.100.4/,24,0,11
1637178089553,29,Petición HTTP,200,OK,final_test 1-9,text,true,,11228,116,20,20,http://192.168.100.4/,10,0,0
1637178089560,23,Petición HTTP,200,OK,final_test 1-14,text,true,,11228,116,20,20,http://192.168.100.4/,9,0,0
1637178089572,12,Petición HTTP,200,OK,final_test 1-19,text,true,,11229,116,19,19,http://192.168.100.4/,10,0,5
1637178089556,31,Petición HTTP,200,OK,final_test 1-16,text,true,,11229,116,19,19,http://192.168.100.4/,20,0,10
1637178089557,31,Petición HTTP,200,OK,final_test 1-17,text,true,,11229,116,19,19,http://192.168.100.4/,19,0,9
1637178089567,21,Petición HTTP,200,OK,final_test 1-7,text,true,,11228,116,19,19,http://192.168.100.4/,9,0,0
1637178089568,21,Petición HTTP,200,OK,final_test 1-11,text,true,,11228,116,20,20,http://192.168.100.4/,8,0,0
1637178089570,20,Petición HTTP,200,OK,final_test 1-8,text,true,,11228,116,20,20,http://192.168.100.4/,8,0,0
1637178089560,30,Petición HTTP,200,OK,final_test 1-18,text,true,,11229,116,20,20,http://192.168.100.4/,18,0,12
1637178089572,19,Petición HTTP,200,OK,final_test 1-6,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089572,21,Petición HTTP,200,OK,final_test 1-13,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089572,21,Petición HTTP,200,OK,final_test 1-2,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089573,20,Petición HTTP,200,OK,final_test 1-4,text,true,,11228,116,20,20,http://192.168.100.4/,7,0,0
1637178089575,20,Petición HTTP,200,OK,final_test 1-1,text,true,,11228,116,19,19,http://192.168.100.4/,5,0,0
1637178089574,21,Petición HTTP,200,OK,final_test 1-12,text,true,,11228,116,20,20,http://192.168.100.4/,6,0,0
1637178089575,21,Petición HTTP,200,OK,final_test 1-3,text,true,,11228,116,20,20,http://192.168.100.4/,6,0,0
1637178089580,18,Petición HTTP,200,OK,final_test 1-5,text,true,,11228,116,19,19,http://192.168.100.4/,3,0,0
1637178089581,18,Petición HTTP,200,OK,final_test 1-10,text,true,,11228,116,19,19,http://192.168.100.4/,5,0,0
1637178089582,17,Petición HTTP,200,OK,final_test 1-15,text,true,,11228,116,18,18,http://192.168.100.4/,6,0,0
1637178089590,10,Petición HTTP,200,OK,final_test 1-21,text,true,,11229,116,18,18,http://192.168.100.4/,9,0,7
1637178089579,21,Petición HTTP,200,OK,final_test 1-20,text,true,,11229,116,18,18,http://192.168.100.4/,9,0,4
1637178089583,18,Petición HTTP,200,OK,final_test 1-14,text,true,,11228,116,18,18,http://192.168.100.4/,6,0,0
1637178089585,17,Petición HTTP,200,OK,final_test 1-19,text,true,,11228,116,17,17,http://192.168.100.4/,8,0,0
1637178089588,14,Petición HTTP,200,OK,final_test 1-16,text,true,,11228,116,17,17,http://192.168.100.4/,8,0,0
1637178089595,8,Petición HTTP,200,OK,final_test 1-1,text,true,,11228,116,17,17,http://192.168.100.4/,4,0,0
1637178089595,10,Petición HTTP,200,OK,final_test 1-22,text,true,,11229,116,16,16,http://192.168.100.4/,10,0,4
1637178089600,6,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,16,16,http://192.168.100.4/,6,0,0
1637178089600,7,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,16,16,http://192.168.100.4/,7,0,0
1637178089603,6,Petición HTTP,200,OK,final_test 1-16,text,true,,11228,116,17,17,http://192.168.100.4/,5,0,0
1637178089608,3,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,17,17,http://192.168.100.4/,3,0,0
1637178089606,5,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,17,17,http://192.168.100.4/,5,0,0
1637178089602,10,Petición HTTP,200,OK,final_test 1-19,text,true,,11228,116,17,17,http://192.168.100.4/,10,0,0
1637178089600,12,Petición HTTP,200,OK,final_test 1-15,text,true,,11228,116,17,17,http://192.168.100.4/,11,0,0
1637178089611,2,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,17,17,http://192.168.100.4/,2,0,0
1637178089611,3,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,17,17,http://192.168.100.4/,3,0,0
1637178089612,3,Petición HTTP,200,OK,final_test 1-15,text,true,,11228,116,18,18,http://192.168.100.4/,2,0,0
1637178089612,3,Petición HTTP,200,OK,final_test 1-19,text,true,,11228,116,18,18,http://192.168.100.4/,3,0,0
1637178089613,3,Petición HTTP,200,OK,final_test 1-23,text,true,,11229,116,18,18,http://192.168.100.4/,3,0,1
1637178089615,2,Petición HTTP,200,OK,final_test 1-15,text,true,,11228,116,18,18,http://192.168.100.4/,2,0,0
1637178089615,3,Petición HTTP,200,OK,final_test 1-19,text,true,,11228,116,17,17,http://192.168.100.4/,3,0,0
1637178089615,3,Petición HTTP,200,OK,final_test 1-24,text,true,,11229,116,16,16,http://192.168.100.4/,3,0,1
1637178089616,3,Petición HTTP,200,OK,final_test 1-23,text,true,,11228,116,16,16,http://192.168.100.4/,2,0,0
1637178089606,14,Petición HTTP,200,OK,final_test 1-22,text,true,,11228,116,16,16,http://192.168.100.4/,13,0,0
1637178089613,9,Petición HTTP,200,OK,final_test 1-20,text,true,,11228,116,16,16,http://192.168.100.4/,9,0,0
1637178089614,8,Petición HTTP,200,OK,final_test 1-21,text,true,,11228,116,16,16,http://192.168.100.4/,8,0,0
1637178089589,34,Petición HTTP,200,OK,final_test 1-17,text,true,,11228,116,14,14,http://192.168.100.4/,30,0,0
1637178089619,4,Petición HTTP,200,OK,final_test 1-24,text,true,,11228,116,14,14,http://192.168.100.4/,4,0,0
1637178089619,5,Petición HTTP,200,OK,final_test 1-23,text,true,,11228,116,14,14,http://192.168.100.4/,5,0,0
1637178089611,13,Petición HTTP,200,OK,final_test 1-16,text,true,,11228,116,15,15,http://192.168.100.4/,9,0,0
1637178089623,3,Petición HTTP,200,OK,final_test 1-24,text,true,,11228,116,15,15,http://192.168.100.4/,3,0,0
1637178089624,3,Petición HTTP,200,OK,final_test 1-23,text,true,,11228,116,15,15,http://192.168.100.4/,3,0,0
1637178089620,7,Petición HTTP,200,OK,final_test 1-22,text,true,,11228,116,15,15,http://192.168.100.4/,4,0,0
1637178089590,38,Petición HTTP,200,OK,final_test 1-18,text,true,,11228,116,15,15,http://192.168.100.4/,30,0,0
1637178089589,40,Petición HTTP,200,OK,final_test 1-7,text,true,,11228,116,15,15,http://192.168.100.4/,31,0,0
1637178089589,41,Petición HTTP,200,OK,final_test 1-11,text,true,,11228,116,15,15,http://192.168.100.4/,31,0,0
1637178089590,40,Petición HTTP,200,OK,final_test 1-8,text,true,,11228,116,14,14,http://192.168.100.4/,31,0,0
1637178089591,40,Petición HTTP,200,OK,final_test 1-6,text,true,,11228,116,12,12,http://192.168.100.4/,30,0,0
1637178089593,38,Petición HTTP,200,OK,final_test 1-13,text,true,,11228,116,12,12,http://192.168.100.4/,28,0,0
1637178089593,39,Petición HTTP,200,OK,final_test 1-2,text,true,,11228,116,10,10,http://192.168.100.4/,28,0,0
1637178089599,33,Petición HTTP,200,OK,final_test 1-5,text,true,,11228,116,10,10,http://192.168.100.4/,23,0,0
1637178089595,37,Petición HTTP,200,OK,final_test 1-12,text,true,,11228,116,10,10,http://192.168.100.4/,27,0,0
1637178089624,8,Petición HTTP,200,OK,final_test 1-16,text,true,,11228,116,9,9,http://192.168.100.4/,4,0,0
1637178089623,11,Petición HTTP,200,OK,final_test 1-17,text,true,,11228,116,6,6,http://192.168.100.4/,3,0,0
1637178089626,9,Petición HTTP,200,OK,final_test 1-24,text,true,,11228,116,7,7,http://192.168.100.4/,4,0,0
1637178089626,10,Petición HTTP,200,OK,final_test 1-25,text,true,,11229,116,7,7,http://192.168.100.4/,10,0,3
1637178089627,11,Petición HTTP,200,OK,final_test 1-22,text,true,,11228,116,7,7,http://192.168.100.4/,9,0,0
1637178089629,9,Petición HTTP,200,OK,final_test 1-18,text,true,,11228,116,7,7,http://192.168.100.4/,6,0,0
1637178089627,11,Petición HTTP,200,OK,final_test 1-23,text,true,,11228,116,7,7,http://192.168.100.4/,5,0,0
1637178089635,4,Petición HTTP,200,OK,final_test 1-24,text,true,,11228,116,6,6,http://192.168.100.4/,4,0,0
1637178089636,3,Petición HTTP,200,OK,final_test 1-25,text,true,,11228,116,6,6,http://192.168.100.4/,3,0,0
1637178089638,2,Petición HTTP,200,OK,final_test 1-22,text,true,,11228,116,5,5,http://192.168.100.4/,1,0,0
1637178089638,2,Petición HTTP,200,OK,final_test 1-18,text,true,,11228,116,4,4,http://192.168.100.4/,1,0,0
1637178089634,6,Petición HTTP,200,OK,final_test 1-17,text,true,,11228,116,4,4,http://192.168.100.4/,5,0,0
1637178089636,4,Petición HTTP,200,OK,final_test 1-26,text,true,,11229,116,4,4,http://192.168.100.4/,4,0,2
1637178089639,2,Petición HTTP,200,OK,final_test 1-25,text,true,,11228,116,4,4,http://192.168.100.4/,2,0,0
1637178089640,2,Petición HTTP,200,OK,final_test 1-18,text,true,,11228,116,4,4,http://192.168.100.4/,2,0,0
1637178089640,3,Petición HTTP,200,OK,final_test 1-17,text,true,,11228,116,3,3,http://192.168.100.4/,3,0,0
1637178089640,3,Petición HTTP,200,OK,final_test 1-26,text,true,,11228,116,2,2,http://192.168.100.4/,3,0,0
1637178089642,2,Petición HTTP,200,OK,final_test 1-25,text,true,,11228,116,2,2,http://192.168.100.4/,2,0,0
1637178089644,2,Petición HTTP,200,OK,final_test 1-25,text,true,,11228,116,2,2,http://192.168.100.4/,2,0,0
1637178089644,2,Petición HTTP,200,OK,final_test 1-26,text,true,,11228,116,1,1,http://192.168.100.4/,2,0,0
1637178089647,1,Petición HTTP,200,OK,final_test 1-26,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089648,1,Petición HTTP,200,OK,final_test 1-26,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089649,2,Petición HTTP,200,OK,final_test 1-27,text,true,,11229,116,2,2,http://192.168.100.4/,2,0,2
1637178089652,1,Petición HTTP,200,OK,final_test 1-27,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089651,2,Petición HTTP,200,OK,final_test 1-28,text,true,,11229,116,2,2,http://192.168.100.4/,2,0,1
1637178089653,1,Petición HTTP,200,OK,final_test 1-27,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089654,0,Petición HTTP,200,OK,final_test 1-28,text,true,,11228,116,2,2,http://192.168.100.4/,0,0,0
1637178089654,1,Petición HTTP,200,OK,final_test 1-27,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089654,2,Petición HTTP,200,OK,final_test 1-28,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089655,1,Petición HTTP,200,OK,final_test 1-27,text,true,,11228,116,2,2,http://192.168.100.4/,1,0,0
1637178089656,1,Petición HTTP,200,OK,final_test 1-28,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089657,1,Petición HTTP,200,OK,final_test 1-28,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089659,3,Petición HTTP,200,OK,final_test 1-29,text,true,,11229,116,1,1,http://192.168.100.4/,3,0,1
1637178089662,1,Petición HTTP,200,OK,final_test 1-29,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089663,1,Petición HTTP,200,OK,final_test 1-29,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089665,1,Petición HTTP,200,OK,final_test 1-29,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089666,2,Petición HTTP,200,OK,final_test 1-29,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089669,2,Petición HTTP,200,OK,final_test 1-30,text,true,,11229,116,1,1,http://192.168.100.4/,2,0,1
1637178089671,1,Petición HTTP,200,OK,final_test 1-30,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089673,1,Petición HTTP,200,OK,final_test 1-30,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089674,1,Petición HTTP,200,OK,final_test 1-30,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089675,1,Petición HTTP,200,OK,final_test 1-30,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089678,2,Petición HTTP,200,OK,final_test 1-31,text,true,,11229,116,1,1,http://192.168.100.4/,2,0,1
1637178089680,2,Petición HTTP,200,OK,final_test 1-31,text,true,,11228,116,1,1,http://192.168.100.4/,2,0,0
1637178089682,1,Petición HTTP,200,OK,final_test 1-31,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089683,1,Petición HTTP,200,OK,final_test 1-31,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089684,1,Petición HTTP,200,OK,final_test 1-31,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089689,2,Petición HTTP,200,OK,final_test 1-32,text,true,,11229,116,1,1,http://192.168.100.4/,2,0,1
1637178089691,1,Petición HTTP,200,OK,final_test 1-32,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089693,1,Petición HTTP,200,OK,final_test 1-32,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089694,1,Petición HTTP,200,OK,final_test 1-32,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089695,2,Petición HTTP,200,OK,final_test 1-32,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
1637178089698,2,Petición HTTP,200,OK,final_test 1-33,text,true,,11229,116,1,1,http://192.168.100.4/,2,0,1
1637178089700,2,Petición HTTP,200,OK,final_test 1-33,text,true,,11228,116,1,1,http://192.168.100.4/,2,0,0
1637178089702,1,Petición HTTP,200,OK,final_test 1-33,text,true,,11228,116,1,1,http://192.168.100.4/,1,0,0
